Asian Buyer,North American buyer,European Buyer,Nordic buyer,Other Buyer,multiple
"wataru & co., ",coffee bean international,interamerican coffee,kaffebrenneriet as,campos,"toa coffee co.,  &  arab coffee co.,"
kyokuto fadie ,blue bottle coffee,ucc coffee uk,solberg & hansen as,sulalat,blessbean co.  & 1kg coffee
honukatocoffee ,ascension coffee,caffe pascucci,tim wendelboe,camel step,cafa© imports & spyhouse coffee roasters.
honu kato coffee ,starbucks,elbgold roestkaffee gmbh,lofbergs lila,brew92,café imports & spyhouse coffee roasters.
ucc ueshima,dragonfly,food service ukraine,black cat kaffe,"world coffee co.,",orsir coffee (taiwan) & trn (taiwan roasters network)
"nippon coffee trading co.,",oren's,mare terra,arvid nordquist hab,latorre & dutch,dabov specialty coffee & ascension coffee roasters
tashiro,t.a.n.,monmouth coffee company,collaborative coffee,coffee magazine company ,gimme! coffee and the coffee tree roasters
nagahama,cafe masseria,supremo kaffeeroesterei,gustav paulig,merlo coffee,"wataru & co.,  and proud rio de janeiro"
wataru,carrboro coffee roasters,32cup,kaffebrenneriet,cypher roastery ,aroma coffee (gavin gam) tommy's mexican rest (julio bermejo)
nippon coffee trading,crop to cup coffee importers,bewleys ,roast coffee,mecca,aroma coffee (gavin gam) tommy’s mexican rest (julio bermejo)
maruyama coffee,midwest coffee trading ,mokka speciality,solberg & hansen,toby's estate coffee,"beijing hmc foods co.,  & knockbox coffee company (hk)"
ecom japan limited,museo,silo coffee,,c hub cafe,campos coffee & willoughbys coffee & tea
terarosa,onyx,supremo,,caffeine lab,bokkum coffee roasters & gil-coffee
m.i. coffee ,49th parallel roasters ,time's club,,dimattina coffee,coffee supreme and seven seeds
nippon,brulerie du quai,cafe imports,,al qahwa al arabiah,"coffeejumbbang &  museo co., (republic of south korea)"
linking coffee,intelligentsia,caravela coffee,,aroma coffee,"coffeejumbbang & museo co., (republic of south korea)"
ueshima,mayorga,dabov specialty coffee,,carandai,"cuppers cooperative,
ag coffee,
woojongho coffee,
santorini coffee,
sweet step coffee,
sewoong gc,
cafe q"
honukato,red fox,gala coffee,,coffee supreme,"dabov specialty coffee,â coffee me up (korea),â cupper's high coffee company,â cuppingpost"
kyokuto,royal coffee,la boheme cafe,,cofi com trading pty ,hayakawa coffee and marumi coffee
momos,vivace coffee roasters,london dairy cafe,,dach,interamerican coffee gmbh (germany) and cafa© leon (guatemala )
toa coffee,vigilante,taf coffee,,sample coffee roasters,with cafe kaiser konditorei gmbh (gremany) and rast kaffee ag (switzerland)
jubean coffee,allegro coffee company,united coffee uk & ireland limited,,seven seeds,kyokuto fadie  & intelligentsia
coffee libre,atlantic specialty coffee,bailies coffee company,,single o,kyokuto fadie  & onyx coffee
